date,journal,url,term
1883-03-26,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637689v,brazza
1883-04-01,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36376945,brazza
1883-04-04,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637697d,brazza
1883-04-05,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637698t,brazza
1883-04-07,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637700f,brazza
1883-04-09,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377028,brazza
1883-04-10,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637703p,brazza
1883-04-11,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377043,brazza
1883-04-13,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637705h,brazza
1883-04-14,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637706x,brazza
1883-04-15,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637707b,brazza
1883-04-20,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637712n,brazza
1883-04-23,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637715w,brazza
1883-04-26,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377184,brazza
1883-05-08,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637729x,brazza
1883-05-09,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637730k,brazza
1883-05-10,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377310,brazza
1883-05-14,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637735n,brazza
1883-05-16,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377362,brazza
1883-05-21,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637741c,brazza
1883-06-01,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377525,brazza
1883-06-14,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637763z,brazza
1883-06-19,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377681,brazza
1883-06-26,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637774r,brazza
1883-06-27,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36377755,brazza
1883-06-30,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637778d,brazza
1883-07-09,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637787c,brazza
1883-07-30,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637807p,brazza
1883-08-06,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637813d,brazza
1883-08-08,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36378157,brazza
1883-08-22,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637828v,brazza
1883-08-26,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637832r,brazza
1883-08-30,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637836d,brazza
1883-09-14,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637848m,brazza
1883-09-20,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637852h,brazza
1883-09-23,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637855r,brazza
1883-09-25,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637857k,brazza
1883-09-30,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36378602,brazza
1883-10-23,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637885w,brazza
1883-11-05,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637896p,brazza
1883-11-07,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637898h,brazza
1883-11-11,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637902z,brazza
1883-11-12,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637903c,brazza
1883-11-20,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637911x,brazza
1883-11-21,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637912b,brazza
1883-11-22,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637913r,brazza
1883-11-23,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379145,brazza
1883-12-06,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637927s,brazza
1883-12-07,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379286,brazza
1883-12-14,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637935b,brazza
1883-12-24,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637945q,brazza
1883-12-29,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637949c,brazza
1884-01-18,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637965g,brazza
1884-01-19,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637966w,brazza
1884-01-25,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637972m,brazza
1884-01-26,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379731,brazza
1884-01-31,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379783,brazza
1884-02-02,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379805,brazza
1884-02-04,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k36379820,brazza
1884-02-10,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637988g,brazza
1884-02-20,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3637997f,brazza
1884-02-23,"La Gironde : journal de Bordeaux [""puis"" hebdomadaire illustré du Sud-Ouest]",https://gallica.bnf.fr/ark:/12148/bpt6k3638000b,brazza
