"[Séance publique de la Société des amis des sciences, des lettres, de l'agriculture et des arts tenue le ...]",1810,1826,https://gallica.bnf.fr/ark:/12148/cb343673784/date,cb343673784_date
[Tableaux de l'économie Languedoc Roussillon],1970,2008,https://gallica.bnf.fr/ark:/12148/cb34396574p/date,cb34396574p_date
"A bas les tyrans : journal antimaçonnique / dir. Copin-Albancelli, Louis Dasté",1900,1902,https://gallica.bnf.fr/ark:/12148/cb32680338v/date,cb32680338v_date
À l'attaque : organe des jeunes Francs-tireurs et partisans français édité par la Fédération des jeunesses communistes de France,1944,1944,https://gallica.bnf.fr/ark:/12148/cb43774356z/date,cb43774356z_date
"À la voile : revue catholique paraissant le 20 [""puis"" le 15] de chaque mois [""puis"" revue de la jeunesse catholique de la région du Nord ""puis"" organe régional du Sillon : Nord, Pas-de-Calais, Somme, Aisne, Ardennes]",1898,1909,https://gallica.bnf.fr/ark:/12148/cb326804353/date,cb326804353_date
A rebrousse-poil. Journal satirique paraissant le jeudi,1896,1896,https://gallica.bnf.fr/ark:/12148/cb32680473n/date,cb32680473n_date
A travers chants : le grand Trimard,1907,1907,https://gallica.bnf.fr/ark:/12148/cb32680487b/date,cb32680487b_date
A travers le monde,1895,1914,https://gallica.bnf.fr/ark:/12148/cb326804969/date,cb326804969_date
"A.E.F. [""puis"" Bulletin économique de l'Afrique équatoriale française]...",1934,1937,https://gallica.bnf.fr/ark:/12148/cb32680164v/date,cb32680164v_date
"Abstraction, création, art non figuratif : [cahier édité par l'association Abstraction-Création fondée le 15 février 1931 pour l'organisation de manifestations d'art non figuratif]",1932,1936,https://gallica.bnf.fr/ark:/12148/cb32680959g/date,cb32680959g_date
Académie de législation de Toulouse,1852,1905,https://gallica.bnf.fr/ark:/12148/cb344104180/date,cb344104180_date
Académie des beaux-arts : [annuaire] / Institut de France,1925,1975,https://gallica.bnf.fr/ark:/12148/cb34461231x/date,cb34461231x_date
Académie du Morvan : [bulletin] / dir. publ. Marcel Vigreux,1974,1974,https://gallica.bnf.fr/ark:/12148/cb343833448/date,cb343833448_date
Académie royale de peinture et de sculpture,1751,1793,https://gallica.bnf.fr/ark:/12148/cb326812244/date,cb326812244_date
Académie royale du Gard,1832,1834,https://gallica.bnf.fr/ark:/12148/cb34424026p/date,cb34424026p_date
Accord. Revue mensuelle illustrée. La France et la Grande-Bretagne. Les nations unies. La guerre et l'avenir,1943,1944,https://gallica.bnf.fr/ark:/12148/cb326812960/date,cb326812960_date
"Achats et ventes. Bulletin d'affaires bi-mensuel [""puis"" Revue d'affaires bi-mensuelle]...",1927,1927,https://gallica.bnf.fr/ark:/12148/cb326813472/date,cb326813472_date
"Act, now ! : bulletin édité par le [sic] Commission des résidents du Collège franco-britannique",1997,1997,https://gallica.bnf.fr/ark:/12148/cb45269553w/date,cb45269553w_date
Acta geographica : comptes rendus de la Société de géographie de Paris,1947,2000,https://gallica.bnf.fr/ark:/12148/cb343481145/date,cb343481145_date
"Actes de l'Académie nationale des sciences, belles-lettres et arts de Bordeaux",1860,1860,https://gallica.bnf.fr/ark:/12148/cb34363194v/date,cb34363194v_date
"Actes de l'Académie royale des sciences, belles-lettres et arts de Bordeaux",1839,1847,https://gallica.bnf.fr/ark:/12148/cb326816367/date,cb326816367_date
Actes de la Société d'ethnographie américaine et orientale ... / publiés par le secrétaire-perpétuel,1862,1886,https://gallica.bnf.fr/ark:/12148/cb32681641t/date,cb32681641t_date
Action : organe social de la France combattante,1943,1952,https://gallica.bnf.fr/ark:/12148/cb34357014v/date,cb34357014v_date
Actualités scientifiques,1904,1912,https://gallica.bnf.fr/ark:/12148/cb32682645f/date,cb32682645f_date
Adam : revue des modes masculines en France et à l'étranger,1925,1966,https://gallica.bnf.fr/ark:/12148/cb32682663c/date,cb32682663c_date
"Adam chemisier : illustration de la chemiserie, bonneterie, ganterie et chapellerie",1933,1960,https://gallica.bnf.fr/ark:/12148/cb34541274z/date,cb34541274z_date
Administration des postes égyptiennes. Rapport sur l'exercice de l'année... présenté à Son Excellence le Ministre de l'agriculture et du commerce...,1877,1915,https://gallica.bnf.fr/ark:/12148/cb32682720c/date,cb32682720c_date
Affaires du temps,1688,1692,https://gallica.bnf.fr/ark:/12148/cb326829698/date,cb326829698_date
Affaires étrangères : revue mensuelle de documentation internationale et diplomatique,1931,1939,https://gallica.bnf.fr/ark:/12148/cb32682976j/date,cb32682976j_date
