journal,publishDate,textQuality,url,code 
"Procès-verbal de l'Assemblée générale des Trois ordres de la Province de Dauphiné", 17??, 98.5, https://gallica.bnf.fr/ark:/12148/cb328432960/date, cb328432960_date
"Étrennes de Mnémosyne, ou Recueil d'epigrammes et de contes en vers", 1788-1790, 84.46, https://gallica.bnf.fr/ark:/12148/cb32770547b/date, cb32770547b_date
"Mémoires du Cercle des philadelphes.", 1788-1788, 85.82, https://gallica.bnf.fr/ark:/12148/cb32813426r/date, cb32813426r_date
"Almanach de charades", 1788-1788, 84.02, https://gallica.bnf.fr/ark:/12148/cb326866353/date, cb326866353_date
"Répertoire national, ou Mémorial chronologique de tous les actes authentiques relatifs à la Révolution", 1792-1792, 90.84, https://gallica.bnf.fr/ark:/12148/cb32851362p/date, cb32851362p_date
"Courrier des planètes ou Correspondance du cousin Jacques avec le firmament : folie périodique dédiée à la lune", 1788-1789, 88.71, https://gallica.bnf.fr/ark:/12148/cb327510662/date, cb327510662_date
"Affiches, annonces et avis divers du Dauphiné", 1774-1792, 93.83, https://gallica.bnf.fr/ark:/12148/cb326831052/date, cb326831052_date
"Notices et extraits des manuscrits de la Bibliothèque du Roi : lûs au Comité établi par Sa Majesté dans l'Académie royale des inscriptions & belles-lettres", 1787-1799, 68.68, https://gallica.bnf.fr/ark:/12148/cb32824817b/date, cb32824817b_date
"Le Moniteur patriote", 1789-1789, 77.02, https://gallica.bnf.fr/ark:/12148/cb34430869d/date, cb34430869d_date
"Annales de chimie (Paris. 1789)", 1789-1815, 99.93, https://gallica.bnf.fr/ark:/12148/cb343481563/date, cb343481563_date
"Journal hebdomadaire de la Diète de Varsovie...", 1788-1792, 95.0, https://gallica.bnf.fr/ark:/12148/cb32801406f/date, cb32801406f_date
"Journal de la Société de 1789", 1790-1790, 98.5, https://gallica.bnf.fr/ark:/12148/cb34394307h/date, cb34394307h_date
"C'est incroyable ou la Confession", 1789-1789, 95.03, https://gallica.bnf.fr/ark:/12148/cb32734861v/date, cb32734861v_date
"Bulletin des lois de la République française", 1794-1931, 98.5, https://gallica.bnf.fr/ark:/12148/cb32726274t/date, cb32726274t_date
"Le Courier de l'Escaut", 1784-1798, 94.88, https://gallica.bnf.fr/ark:/12148/cb32750364z/date, cb32750364z_date
"Bulletin de l'Assemblée nationale (Paris)", 1789-1790, 90.95, https://gallica.bnf.fr/ark:/12148/cb32719044v/date, cb32719044v_date
"Journal de Provence (Marseille. 1781)", 1781-1791, 87.46, https://gallica.bnf.fr/ark:/12148/cb327987535/date, cb327987535_date
"L'Observateur. [Par Feydel]", 1789-1790, 89.33, https://gallica.bnf.fr/ark:/12148/cb32827710c/date, cb32827710c_date
"Gazette nationale ou le Moniteur universel", 1789-1810, 98.51, https://gallica.bnf.fr/ark:/12148/cb34452336z/date, cb34452336z_date
"Journal des États généraux, convoqués par Louis XVI, le 27 avril 1789", 1789-1791, 94.33, https://gallica.bnf.fr/ark:/12148/cb32799630g/date, cb32799630g_date
"Affiches des Trois-Évêchés : feuille hebdomadaire", 1769-1790, 87.75, https://gallica.bnf.fr/ark:/12148/cb32683240v/date, cb32683240v_date
"Le Nouvelliste universel ou Analyse raisonnée de toutes les feuilles périodiques volantes et éphémères relatives aux affaires du temps", 1789-1789, 92.54, https://gallica.bnf.fr/ark:/12148/cb32827169c/date, cb32827169c_date
"Journal de Genève (Genève. 1787)", 1787-1791, 92.33, https://gallica.bnf.fr/ark:/12148/cb32797446t/date, cb32797446t_date
"Cahiers du quatrième ordre", 1789-1789, 93.57, https://gallica.bnf.fr/ark:/12148/cb32735725z/date, cb32735725z_date
"Courier de Provence . Pour servir de suite aux Lettres du comte de Mirabeau à ses commettans", 1789-1791, 84.63, https://gallica.bnf.fr/ark:/12148/cb32750751q/date, cb32750751q_date
"Suite des Nouvelles de Versailles", 1789-1789, 83.5, https://gallica.bnf.fr/ark:/12148/cb32873750p/date, cb32873750p_date
